Timestamp         Permalink                        Contents
----------------  ------------------------------   ------------------------------
2009-11-10 15:26  duncanmak/status/5602929333      Watching Rob Pike's talk on Google's new #golang language. A lot of his points remind me of ML systems, I wonder what's new?
2009-11-10 15:34  nuttycom/status/5603122189       Nice that #golang doesn't do numeric coercion. Actually, I like that it doesn't do many of the things it doesn't do. Looks clean.
2009-11-10 15:34  mlinksva/status/5603135894       #golang looks pretty interesting http://golang.org/doc/go_lang_faq.html
2009-11-10 15:37  janl/status/5603206261           Go func yourself. #golang
2009-11-10 15:38  mlinksva/status/5603227074       "No major systems language has emerged in over a decade, [while] the computing landscape has changed tremendously." #golang faq/yep/duh
2009-11-10 15:40  JonGretar/status/5603284206      @jalada Well... I'm a bit confused on what is new in #golang. What is it supposed to solve? Is it just that it compiles fast?
2009-11-10 15:42  EamonLeonard/status/5603345500   lol RT @janl: Go func yourself. #golang
2009-11-10 15:43  repeatedly/status/5603369842     なぜここで日本語が出てくるのかｗｗ > fmt.Printf("Hello, 世界\n") #golang
2009-11-10 15:44  onyxfish/status/5603391391       Ummm, there is actually hype for this: golang.org? How? Why? Ack, my eyes! The blindness is returning! #golang
2009-11-10 15:44  pbarreto/status/5603395113       @barbolo O que eles querem dizer com "[the] ***safety*** of a compiled language like C or C++"? É piada? :) #golang
2009-11-10 15:47  Sixeight/status/5603464669       マルチバイト扱えますアピール RT @repeatedly: なぜここで日本語が出てくるのかｗｗ > fmt.Printf("Hello, 世界\n") #golang
2009-11-10 15:47  nicferrier/status/5603479598     array slices are go's "thing" #golang
2009-11-10 15:49  barbolo/status/5603524635        @pbarreto Ouso dizer que é porque tipicamente em linguagens compiladas muitos erros são descobertos na compilação.  #to_be_continued #golang
2009-11-10 15:50  barbolo/status/5603537207        @barbolo Enquanto que em linguagens interpretadas muitos erros são descobertos em runtime #golang
2009-11-10 15:50  alefragisp/status/5603541166     #golang will be a trending topic in few minutes! Tweets are falling like the rain. wow Google did it again...
2009-11-10 15:56  onyxfish/status/5603706422       It is possible I am heaping too much scorn upon Go. I offer a respectful nod to its syshacker masters. #golang
2009-11-10 15:58  nicferrier/status/5603751603     genius: externs are exported with initcaps #golang
2009-11-10 15:59  repeatedly/status/5603770675     「What kind of a name is 6g?」に対して「The 6g (and 8g and 5g) compiler is named in the tradition of the Plan 9 C compilers, ～」 #golang
2009-11-10 16:00  pbarreto/status/5603799316       @barbolo Não podiam pelo menos escolher alguma outra linguagem compilada pra comparar? #golang
2009-11-10 16:03  pbarreto/status/5603900886       @guiraldelli @barbolo @rifiorelli É, tem cara de ser só isso mesmo; até agora não achei uma menção sequer a semântica formal. #golang
